15734
916,917,0,1
917,916,1,0
4439,4440,0,1
4440,4439,1,0
7229,7398,0,1
7398,7229,1,0
9609,9610,1,0
9610,9609,0,1
9934,9935,1,0
9935,9934,0,1
10015,10020,0,1
10020,10015,1,0
10015,10021,0,1
10021,10015,1,0
10015,10022,0,1
10022,10015,1,0
10015,10025,1,0
10025,10015,0,1
10020,10025,1,0
10025,10020,0,1
10021,10025,1,0
10025,10021,0,1
10022,10025,1,0
10025,10022,0,1
11692,11693,1,0
11693,11692,0,1
13682,13684,0,1
13684,13682,1,0
13682,13685,0,1
13685,13682,1,0
13684,13685,1,0
13685,13684,0,1
14341,17023,0,1
17023,14341,1,0
14628,14629,1,0
14629,14628,0,1
16071,16073,0,1
16073,16071,1,0
16071,16074,0,1
16074,16071,1,0
16071,16075,0,1
16075,16071,1,0
16073,16074,0,1
16074,16073,1,0
16073,16075,0,1
16075,16073,1,0
16074,16075,1,0
16075,16074,0,1
19759,19780,0,1
19780,19759,1,0
20053,20057,1,0
20057,20053,0,1
20053,20102,1,0
20102,20053,0,1
20053,20103,1,0
20103,20053,0,1
20057,20102,1,0
20102,20057,0,1
20057,20103,1,0
20103,20057,0,1
20057,20357,0,1
20357,20057,1,0
20057,20358,0,1
20358,20057,1,0
20057,20592,0,1
20592,20057,1,0
20102,20103,0,1
20103,20102,1,0
20102,20357,0,1
20357,20102,1,0
20102,20358,0,1
20358,20102,1,0
20102,20592,0,1
20592,20102,1,0
20103,20357,0,1
20357,20103,1,0
20103,20358,0,1
20358,20103,1,0
20103,20592,0,1
20592,20103,1,0
20144,20145,1,0
20145,20144,0,1
23054,23055,0,1
23055,23054,1,0
24309,24310,1,0
24310,24309,0,1
25259,25264,1,0
25264,25259,0,1
30017,30019,1,0
30019,30017,0,1
37437,37438,1,0
37438,37437,0,1
37545,37546,0,1
37546,37545,1,0
37687,37925,1,0
37925,37687,0,1
39725,39727,1,0
39727,39725,0,1
39725,39728,0,1
39728,39725,1,0
39725,39729,0,1
39729,39725,1,0
39727,39728,0,1
39728,39727,1,0
39727,39729,0,1
39729,39727,1,0
41092,41093,1,0
41093,41092,0,1
41092,41094,1,0
41094,41092,0,1
41093,41094,1,0
41094,41093,0,1
41780,41781,0,1
41781,41780,1,0
43656,43657,1,0
43657,43656,0,1
43656,43659,1,0
43659,43656,0,1
43656,43661,0,1
43661,43656,1,0
43657,43659,1,0
43659,43657,0,1
43657,43661,0,1
43661,43657,1,0
43659,43661,0,1
43661,43659,1,0
44777,44778,0,1
44778,44777,1,0
45750,45752,0,1
45752,45750,1,0
46539,46540,0,1
46540,46539,1,0
47565,47566,1,0
47566,47565,0,1
47565,47567,1,0
47567,47565,0,1
47565,47569,1,0
47569,47565,0,1
47566,47567,1,0
47567,47566,0,1
47566,47569,1,0
47569,47566,0,1
47567,47569,1,0
47569,47567,0,1
